url,title,date,class,venue
https://vault.racerxonline.com/1993-05-30/250mx/high-point-raceway,High Point Raceway - 250MX,"May 30, 1993",250mx,High Point Raceway
https://vault.racerxonline.com/1993-06-05/125wsx/spartan-stadium,San Jose - 125WSX,"June 5, 1993",125wsx,Spartan Stadium
https://vault.racerxonline.com/1993-06-05/250sx/spartan-stadium,San Jose - 250SX,"June 5, 1993",250sx,Spartan Stadium
https://vault.racerxonline.com/1993-06-12/125wsx/sam-boyd-stadium,Las Vegas - 125WSX,"June 12, 1993",125wsx,Sam Boyd Stadium
https://vault.racerxonline.com/1993-06-12/250sx/sam-boyd-stadium,Las Vegas - 250SX,"June 12, 1993",250sx,Sam Boyd Stadium
https://vault.racerxonline.com/1993-06-20/125mx/hangtown-motocross-classic,Hangtown Motocross Classic - 125MX,"June 20, 1993",125mx,Hangtown Motocross Classic
https://vault.racerxonline.com/1993-06-20/250mx/hangtown-motocross-classic,Hangtown Motocross Classic - 250MX,"June 20, 1993",250mx,Hangtown Motocross Classic
https://vault.racerxonline.com/1993-07-04/125mx/red-bud-track-n-trail,RedBud Track 'n Trail - 125MX,"July 4, 1993",125mx,Red Bud Track N Trail
https://vault.racerxonline.com/1993-07-04/250mx/red-bud-track-n-trail,RedBud Track 'n Trail - 250MX,"July 4, 1993",250mx,Red Bud Track N Trail
https://vault.racerxonline.com/1993-07-11/125mx/unadilla,Unadilla Motocross - 125MX,"July 11, 1993",125mx,Unadilla
https://vault.racerxonline.com/1993-07-11/250mx/unadilla,Unadilla Motocross - 250MX,"July 11, 1993",250mx,Unadilla
https://vault.racerxonline.com/1993-07-25/125mx/kenworthys-motocross-park,Kenworthy's Motocross Park - 125MX,"July 25, 1993",125mx,Kenworthys Motocross Park
https://vault.racerxonline.com/1993-07-25/250mx/kenworthys-motocross-park,Kenworthy's Motocross Park - 250MX,"July 25, 1993",250mx,Kenworthys Motocross Park
https://vault.racerxonline.com/1993-08-01/125mx/glen-helen-raceway,Glen Helen Raceway - 125MX,"August 1, 1993",125mx,Glen Helen Raceway
https://vault.racerxonline.com/1993-08-01/250mx/glen-helen-raceway,Glen Helen Raceway - 250MX,"August 1, 1993",250mx,Glen Helen Raceway
https://vault.racerxonline.com/1993-08-08/125mx/washougal-motocross-park,Washougal Motocross - 125MX,"August 8, 1993",125mx,Washougal Motocross Park
https://vault.racerxonline.com/1993-08-08/500mx/washougal-motocross-park,Washougal Motocross - 500MX,"August 8, 1993",500mx,Washougal Motocross Park
https://vault.racerxonline.com/1993-08-15/125mx/spring-creek-motocross-park,Spring Creek Motocross - 125MX,"August 15, 1993",125mx,Spring Creek Motocross Park
https://vault.racerxonline.com/1993-08-15/500mx/spring-creek-motocross-park,Spring Creek Motocross - 500MX,"August 15, 1993",500mx,Spring Creek Motocross Park
https://vault.racerxonline.com/1993-08-29/125mx/broome-tioga-sports-center,Broome-Tioga Sports Center - 125MX,"August 29, 1993",125mx,Broome Tioga Sports Center
https://vault.racerxonline.com/1993-08-29/500mx/broome-tioga-sports-center,Broome-Tioga Sports Center - 500MX,"August 29, 1993",500mx,Broome Tioga Sports Center
https://vault.racerxonline.com/1993-09-05/125mx/steel-city-raceway,Steel City Raceway - 125MX,"September 5, 1993",125mx,Steel City Raceway
https://vault.racerxonline.com/1993-09-05/500mx/steel-city-raceway,Steel City Raceway - 500MX,"September 5, 1993",500mx,Steel City Raceway
